"","user_sn","review_mean_time_spent","review_mean_finish_rate","prac_mean_items_ans_time","prac_mean_binary_res_Q","exam_mean_ans_time_num","exam_mean_binary_res","user_exam_count","user_prac_count","user_review_count","organization_id","total_score","pr","correct_rate","mission_count","question_count"
"1","2697",0,0,0,0,0,0,0,0,0,973,218,73.3333358764648,0.745271867612293,101,850
"2","4381",0,0,22.1269836425781,0.633333325386047,0,0,0,10,0,3740,179,34.6153831481934,0.852631578947368,38,190
"3","4561",0,0,8.87753677368164,0.926829278469086,0,0,0,133,2,973,233,86.6666641235352,0.792392005157963,101,850
"4","6802",0,0,0,0,0,0,0,0,0,973,202,66.6666641235352,0.798301486199575,101,850
"5","6828",0,0,10.3132066726685,0.826086938381195,0,0,0,24,0,3740,224,76.9230804443359,0.844444444444444,36,180
"6","8634",422.628570556641,70.457145690918,3893.70678710938,0.588235318660736,0,0,5,43,50,1808,124,17.6470584869385,0.342212189616253,25,125
"7","11303",465.366668701172,90.4000015258789,12.6921834945679,0.433333337306976,0,0,16,48,63,1808,133,23.529411315918,0.5856,15,75
"8","11312",185.795455932617,59.7272720336914,13.8218698501587,0.869369387626648,268.9375,0.84375,32,37,44,2486,266,100,0.83223331654189,13.5373814390383,0.83223331654189
"9","13328",515.03125,87.125,6.17769527435303,0.658536612987518,0,0,27,72,80,1808,208,70.5882339477539,0.626086956521739,6,30
"10","14314",0,0,6.97032737731934,0.954023003578186,0,0,0,29,0,3740,238,96.1538467407227,0.871428571428571,39,195
"11","14503",554.03076171875,76.9384613037109,70.9581298828125,0.5,329.672210693359,0.822222232818604,180,4,65,338,162,13.043478012085,0.632552956897587,14.9684097255114,0.632552956897587
"12","15995",690.842102050781,82.8684234619141,53.089168548584,0.666666686534882,338.939758300781,0.867469906806946,166,3,76,338,234,73.9130401611328,0.772329201202785,13.9666899783414,0.772329201202785
"13","17422",284,100,31.4870491027832,0.850000023841858,0,0,0,10,5,973,244,93.3333358764648,0.854980079681275,101,850
"14","20034",547.486511230469,84.1351318359375,17.5031108856201,0.444444447755814,0,0,27,72,82,1808,213,88.2352905273438,0.805217730305159,13.7309912069158,0.805217730305159
"15","23061",0,0,7.32060194015503,0.5,0,0,0,18,0,3740,122,15.384614944458,0.762790697674419,47,235
"16","23250",350.529418945312,84.3823547363281,14.9074563980103,0.681818187236786,0,0,27,76,73,1808,220,94.1176452636719,0.62,4,20
"17","23415",0,0,22.9519004821777,0.616666674613953,0,0,0,20,0,3740,76,3.8461537361145,0.736206896551724,47,235
"18","30835",0,0,9.54028797149658,0.936781585216522,0,0,0,29,0,3740,238,96.1538467407227,0.942857142857143,36,180
"19","32737",373.393951416016,83.1818161010742,25.2427139282227,1,311.560241699219,0.867469906806946,166,7,66,338,268,100,0.83223331654189,13.5373814390383,0.83223331654189
"20","38371",374.846160888672,61.538459777832,12.7402143478394,0.642857134342194,394.472229003906,0.638888895511627,36,7,13,2486,78,7.14285707473755,0.619003218661069,15.0655152131282,0.619003218661069
"21","38614",511.477600097656,82.164176940918,10.8070001602173,0.571428596973419,311.276794433594,0.8125,224,7,67,338,210,43.4782600402832,0.702441081240131,14.4675498362319,0.702441081240131
"22","42229",0,0,0,0,0,0,0,0,0,973,154,26.6666660308838,0.658536585365854,101,829
"23","42415",299.166656494141,91.7222213745117,11.8611135482788,0.651515126228333,0,0,18,50,67,1808,178,47.0588226318359,0.542857142857143,38,190
"24","46696",308.799987792969,76.5714263916016,2850.77612304688,0.259999990463257,0,0,19,43,82,1808,201,58.8235282897949,0.469367088607595,40,200
"25","49363",570.909118652344,78.3181838989258,35.6869049072266,0.642857134342194,363.973419189453,0.813829779624939,188,7,66,338,204,30.4347820281982,0.672489027950469,14.6822040744946,0.672489027950469
"26","50836",125.300003051758,48.3333320617676,7.8165864944458,0.814814805984497,220.038467407227,0.961538434028625,26,27,30,2486,242,85.7142868041992,0.799428688625547,13.7724789246355,0.799428688625547
"27","54952",544.833312988281,83.4848480224609,92.5220413208008,0.875,344.810668945312,0.864077687263489,206,4,66,338,198,21.7391300201416,0.652520992424028,14.825306900003,0.652520992424028
"28","62947",474.444458007812,77.3055572509766,7539.46484375,0.5,0,0,23,48,89,1808,226,100,0.59,7,35
"29","65038",365.809997558594,76.2900009155273,8.11109161376953,0.75,355.540985107422,0.923497259616852,183,60,100,338,236,78.260871887207,0.782313232105678,13.8951384714205,0.782313232105678
"30","75997",0,0,0,0,0,0,0,0,0,973,221,80,0.775426219870664,101,850
"31","79642",0,0,9.83084011077881,0.730769217014313,0,0,0,26,0,3740,125,19.230770111084,0.79672131147541,34,170
"32","80380",0,0,0,0,0,0,0,0,0,973,101,6.66666650772095,0.429420505200594,17,102
"33","82762",0,0,0,0,0,0,0,17,0,973,156,33.3333320617676,0.743718592964824,100,846
"34","87634",0,0,19.964319229126,1,0,0,0,12,0,3740,270,100,0.948837209302326,36,180
"35","104242",345.647064208984,76.8235321044922,14.1486663818359,0.666666686534882,297.521728515625,0.826086938381195,46,20,17,2486,235,78.5714263916016,0.783026365907594,13.8900277302119,0.783026365907594
"36","106042",618.833312988281,77.8181838989258,71.2500839233398,0.625,332.894439697266,0.922222197055817,180,4,66,338,260,95.6521759033203,0.82224930315856,13.6089328204036,0.82224930315856
"37","106132",0,0,0,0,0,0,0,0,0,973,108,13.3333330154419,0.541197658712292,74,561
"38","106735",389.78125,89.25,10.4473657608032,0.403846144676208,0,0,21,48,69,1808,101,5.88235282897949,0.628571428571429,1,5
"39","108139",368.024383544922,75.3170700073242,15.1166973114014,0.662790715694427,0,0,30,79,116,1808,211,82.3529434204102,0.605333333333333,25,125
"40","108343",232.615386962891,86.461540222168,27.703498840332,0.5,216.5625,0.90625,32,2,13,2486,254,92.8571395874023,0.815830993823937,13.6549302446147,0.815830993823937
"41","108886",0,0,12.9575614929199,0.736842095851898,0,0,0,19,0,3740,175,30.769229888916,0.692857142857143,52,260
